Game,Title,Description,Published,Downloads
1,Playable Twileks,"This mod will make a Lethan Twilek female and Tukian Twilek male playable heads to choose at the start of the game. This mod includes custom heads, Sith Eyes and tattoos when you are on the dark side. There are also new custom portraits to reflect the head's transitions. Note: This mod does not affect any Twilek NPC heads. Enjoy!",2008-07-29 00:00:00,320
1,Playable Juhani,"This mod, as requested by RakataDark on LucasForums, will make Juhani a playable head to choose at the start of the game. This mod includes custom portraits, a new lightside head, and Sith Eyes when you are on the dark side. Note: This mod does not affect Juhani's default head at all. Enjoy!",2008-08-11 00:00:00,259
1,Generic Red-Haired PC,"This mod, as requested by RakataDark on LucasForums, will make the generic red-haired NPC a playable head to choose at the start of the game. This mod includes custom portraits, a new lightside head, and Sith Eyes when you are on the dark side. Note: This mod does not affect the original NPC head at all. Enjoy!",2008-09-13 00:00:00,293
1,Darth Zaerdra,"This mod, as requested by Darth Payne on LucasForums, will turn Zaedra on Taris into a Dark Jedi with the Jedi Guardian class. This mod gives Zaedra Sith Eyes and Yuthura Ban's tattoos. Also, it gives her Darth Malak's saber, and the Force Powers 'Force Wave' and 'Force Lightning'. Enjoy!",2008-09-28 00:00:00,268
1,Playable Yuthura Ban,"This mod will make Yuthura Ban a playable head to choose at the start of the game. As of version 2.0, you can visibly wear masks and headgear. Also, this mod includes new Sith Eyes as you transition to the dark side. There are also new custom portraits to reflect the head's transitions. Enjoy!",2011-09-09 00:00:00,245
1,Playable Mission Vao,"This mod will make Mission Vao a playable head at the game's start. It does not use the original head, but uses a Twilek head as the base to resemble her using parts of the original texture. This mod includes Sith Eyes and tattoos as you transition to the dark side. There are also custom portraits to reflect the head's transitions. Enjoy!",2012-11-14 00:00:00,272
2,LS Handmaiden Robes,"This mod will allow Handmaiden to wear her white lightside outfit while she is on the dark side. Without this mod, she automatically switches to a black outfit. The new item that makes it possible is able to be constructed at any workbench in the game. Note: This mod only allows Handmaiden to wear that outfit. Enjoy!",2007-08-27 00:00:00,275
2,Playable Twileks,"This mod will make a Lethan Twilek female and Tukian Twilek male playable heads to choose at the start of the game. This mod includes custom heads, Sith Eyes and tattoos when you are on the dark side. There are also new custom portraits to reflect the head's transitions. Note: This mod does not affect any Twilek NPC heads. Enjoy!",2008-07-29 00:00:00,288
2,Clothed Beginning,"This mod will allow the player to start the game with clothes equipped, instead of wearing only his/her undergarments. However, this mod does not change Kreia's nor Atton's dialog about not wearing anything. Note: This mod merely equips the clothes; it does not change its appearance. Enjoy!",2008-08-26 00:00:00,258
2,Playable Starkiller,"This mod will make Galen Marek from The Force Unleashed into a playable head to choose at the start of the game. This mod uses a reskin of Berun Modrul's head to look similar to him. This mod includes Sith Eyes as you transition to the dark side. There are also custom portraits to reflect the head's transitions. Enjoy!",2008-10-10 00:00:00,302
2,PFHC06 Fix,"This mod will fix the grey area on PFHC06, the fifth Caucasian female head. It was not too noticeable until I was working with that model in 3ds Max. But, if you too noticed it and wanted it fix, then this mod is for you. Note: This mod does not affect the head's tga file, only its model. Enjoy!",2009-02-10 00:00:00,287
2,Playable Yuthura Ban,"This mod will make Yuthura Ban a playable head to choose at the start of the game. As of version 2.0, you can visibly wear masks and headgear. Also, this mod includes new Sith Eyes as you transition to the dark side. There are also new custom portraits to reflect the head's transitions. Enjoy!",2011-09-09 00:00:00,287
2,Non-Ponytailed PFHC07,"This mod, as requested by MsFicwriter on LucasForums, will remove the ponytail from PFHC07, which is the third Caucasian female head. If you too wanted her ponytail removed, then this mod is for you. Note: This mod does not affect the head's tga file, only its model. Enjoy!",2011-11-29 00:00:00,248
2,Improved Jedi Sacks,"This mod will make the Exile's undergarments look more Jedi-ish. Before this mod,  they looked like a potato sack with clown shoes. To make this new reskin exclusive to the Exile, this mod uses TSLPatcher to install. It does include reskins that make it compatible with my released TSL playable aliens. Enjoy!",2012-01-27 00:00:00,271
2,Playable Mission Vao,"This mod will make Mission Vao a selectable head at the game's start. Included in this version is the ability to wear masks, use the default TSL clothes (unlike the previous release) and use the default dancer's outfit. This mod includes Sith Eyes and tattoos as you transition to the dark side. There are also custom portraits to reflect the head's transitions. Enjoy!",2013-04-09 00:00:00,253
2,New Playable Brunette,"This mod will make a new selectable brunette head at the game's start. This mod utilizes a customized model tweak of my PFHC06 Fix mod. This head will be one of the new ones to be included with Echo of the Force's release. It includes Sith eyes as you transition to the dark side. There are also custom portraits to reflect the head's transitions. Enjoy!",2013-11-09 00:00:00,206
3,Recruit Function,"Not-so-long in a galaxy not-too-far away, I once created a recruit script that eased the process of creating a recruit mod for TSL only. It always felt a little unjust that TSL modders should get that burden eased while KotOR I modders still had to suffer through the old (and semi-lengthy) way of coding a recruit script. I think this should both further ease the process of TSL recruitment mods & finally relieve the process for KotOR I recruitment mods somewhat.",2012-05-28 00:00:00,354
